Location,Latitude,Longitude,Distance_to_MRT,Amenity_Count,Safety_Index,Property_Age,Square_Feet,Rental_Price,Property_Type,Nearest_MRT,Rooms,Furnished
KLCC,3.1478,101.6943,1.9,12,9.4,14,1259,3600,Condominium,"KLCC LRT",3,"Fully Furnished"
"Taman Desa",3.1089,101.6874,3,10,7.4,28,935,1700,"Service residence","Taman Desa",3,"Partially Furnished"
"Sungai Besi",3.0788,101.7253,2.9,11,5.5,9,872,1500,"Service residence","Sungai Besi",2,"Partially Furnished"
"Sungai Besi",3.0658,101.7223,4.1,12,7.3,10,872,1500,Apartment,"Sungai Besi",2,"Partially Furnished"
"Sungai Besi",3.0758,101.6993,0.9,11,8.1,8,1317,2900,"Service residence","Sungai Besi",2,"Fully Furnished"
"Wangsa Maju",3.2079,101.7646,5.8,1,6.7,13,530,900,Flat,"Wangsa Maju LRT",2,"Not Furnished"
"Taman Desa",3.1009,101.6904,1,10,6.6,28,935,2000,"Service residence","Taman Desa",3,"Fully Furnished"
Segambut,3.1814,101.6689,4.8,15,5.6,6,800,700,Condominium,"Segambut KTM",6,"Fully Furnished"
"Bukit Jalil",3.0507,101.6629,2.6,7,6.1,4,850,1300,Apartment,"Bukit Jalil LRT",3,"Partially Furnished"
"Mont Kiara",3.1745,101.6468,6,12,9.4,3,300,1250,"Service residence","Mont Kiara",1,"Fully Furnished"
Setapak,3.2073,101.7294,4.2,12,5.6,4,800,1300,Condominium,"Wangsa Maju LRT",3,"Not Furnished"
Cheras,3.1147,101.7213,4.5,15,7,15,1238,1250,Condominium,"Cheras MRT",4,"Partially Furnished"
"Old Klang Road",3.1052,101.6574,3.8,9,6.2,7,775,1300,"Service residence","Mid Valley",1,"Partially Furnished"
"Taman Desa",3.1189,101.6744,3,10,5.8,12,715,1400,"Service residence","Taman Desa",3,"Partially Furnished"
"Taman Desa",3.0929,101.6804,1,12,6.6,28,935,1700,"Service residence","Taman Desa",3,"Partially Furnished"
Setapak,3.1923,101.7194,1.6,9,7.1,9,850,1850,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
Kepong,3.2153,101.6175,1.2,13,6.8,4,916,1550,"Service residence","Kepong LRT",3,"Partially Furnished"
Cheras,3.1187,101.7443,2.3,11,6,4,670,1400,"Service residence","Cheras MRT",2,"Partially Furnished"
Setapak,3.1923,101.7274,1.5,1,7.2,11,850,1600,Apartment,"Wangsa Maju LRT",3,"Partially Furnished"
Cheras,3.1137,101.7163,2.3,12,7.2,4,819,1600,"Service residence","Cheras MRT",3,"Partially Furnished"
Sentul,3.1749,101.6873,1.7,2,6.5,10,1300,1900,Condominium,"Sentul LRT",3,"Fully Furnished"
"Desa ParkCity",3.1663,101.6152,3.2,3,8.7,7,1000,2300,Condominium,"Desa ParkCity",3,"Fully Furnished"
"Taman Desa",3.1129,101.6964,4.9,9,6.3,28,918,1500,Condominium,"Taman Desa",3,"Fully Furnished"
Kepong,3.2073,101.6365,5.4,6,7.1,10,850,1000,Apartment,"Kepong LRT",2,"Partially Furnished"
"Bukit Bintang",3.1378,101.7183,5.2,10,5.7,18,325,1500,"Service residence","Bukit Bintang MRT",1,"Fully Furnished"
Kepong,3.2173,101.6255,5,9,7.3,8,850,900,Apartment,"Kepong LRT",3,"Partially Furnished"
Cheras,3.1147,101.7423,3.4,9,7.4,10,526,1300,Condominium,"Cheras MRT",1,"Partially Furnished"
Kepong,3.2193,101.6375,1.5,8,6.6,13,958,1300,Apartment,"Kepong LRT",3,"Fully Furnished"
Sentul,3.1879,101.6723,1.4,10,6.9,5,743,1900,Apartment,"Sentul LRT",2,"Fully Furnished"
Setapak,3.2033,101.7104,2.8,11,6.6,15,808,2500,"Service residence","Wangsa Maju LRT",3,"Fully Furnished"
Sentul,3.1689,101.7113,4.6,4,7.5,16,877,1400,Condominium,"Sentul LRT",3,"Partially Furnished"
"Wangsa Maju",3.2019,101.7376,2.7,13,6.5,15,1267,1600,Condominium,"Wangsa Maju LRT",3,"Partially Furnished"
Cheras,3.1047,101.7363,4.6,4,7.5,13,665,700,Flat,"Cheras MRT",2,"Partially Furnished"
Setiawangsa,3.1854,101.7295,2.4,4,6.5,8,878,1500,Apartment,"Setiawangsa LRT",3,"Partially Furnished"
"Bukit Jalil",3.0367,101.6609,2.3,11,6.8,5,1040,1450,Condominium,"Bukit Jalil LRT",3,"Partially Furnished"
Cheras,3.0987,101.7133,1.9,13,6.8,4,650,1400,"Service residence","Cheras MRT",2,"Partially Furnished"
Setapak,3.1773,101.7264,3.4,1,7.9,18,1076,1800,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
Cheras,3.1117,101.7503,4.8,9,7,4,943,1300,Condominium,"Cheras MRT",3,"Partially Furnished"
"Taman Desa",3.1029,101.6904,1.5,7,7,3,1075,1600,"Service residence","Taman Desa",3,"Partially Furnished"
"Bukit Jalil",3.0757,101.6829,5.8,7,5.6,15,916,1180,Apartment,"Bukit Jalil LRT",3,"Not Furnished"
Cheras,3.1007,101.7483,2.1,12,8,4,819,1600,"Service residence","Cheras MRT",3,"Partially Furnished"
Setapak,3.1803,101.7394,2.8,8,7.6,6,800,1650,Condominium,"Wangsa Maju LRT",3,"Fully Furnished"
Setapak,3.1773,101.7094,6,6,7.2,14,800,1300,Condominium,"Wangsa Maju LRT",3,"Not Furnished"
